lambda0,lambda1,th0,th1,th,LordenH, maxN,alpha,beta,ASNKW,Q99KW,Delta,logA,logB,alphaSPRT,betaSPRT,ASNSPRT,Q99SPRT,FSS
157.696751972207,193.349705609267,0.05,0.15,0.076846178793028,211,128,0.100662344846268,0.099686560438144,38.618882262587,89,-3.78467603923127E-08,-2.13007890800412,1.84945091269363,0.100177213286582,0.099388777200239,40.5332536508766,149,60
356.550267417901,430.270248939497,0.05,0.15,0.082295897173327,254,182,0.050077508654407,0.050084499810315,64.7466527863768,134,0.000128180770005,-2.89671174337309,2.58699169658096,0.04992946627218,0.049790670375191,71.9301376364661,269,93
785.747547200221,952.992185721432,0.05,0.15,0.084806641100041,304,237,0.024916586914846,0.024923421356931,93.7858622075515,187,8.50340761360258E-05,-3.59830705503857,3.2692913387289,0.025080333534955,0.025137414649444,109.806572010627,414,136
2067.23518427776,2512.29670966577,0.05,0.15,0.086473166961665,367,302,0.010059361373952,0.010047509605998,134.334116165774,244,4.12626736476795E-05,-4.54459531426782,4.21762916103079,0.009992588050133,0.009991015384718,173.086799800748,660,181
4334.60190142878,5183.48233894135,0.05,0.15,0.087411488352558,415,345,0.00499003813107,0.005009856122097,167.102425404654,291,4.15579087302831E-05,-5.24057126022167,4.91105395122779,0.004978793048748,0.005034003078587,228.769967328251,884,224
22957.0240824138,27541.7808194461,0.05,0.15,0.08852161835848,525,465,0.001001742871613,0.001001532964738,246.228549642851,397,-3.37097668534625E-06,-6.85211495961152,6.52543594197456,0.001001109666022,0.00099957851454,388.010620780054,1502,322
46319.0733422637,56073.601827577,0.05,0.15,0.088811584892462,572,508,0.000499825957582,0.000499798564848,281.639617833533,442,-4.14196144902235E-05,-7.54719646217578,7.21869137285693,0.00049960651093,0.000500608174696,469.316029484364,1819,365
246.637970057798,275.379513286705,0.1,0.2,0.136360568624635,333,232,0.099776422220208,0.100134843773773,56.4514751789318,135,5.09742780749889E-05,-2.13414114276935,1.94759107111769,0.100420104318039,0.099935065468696,59.4835298337253,224,86
557.464729560967,620.37376702668,0.1,0.2,0.139434231510851,408,308,0.050179031676919,0.05017200092646,95.0340258870711,205,8.50410629027465E-07,-2.881991964293,2.7038865862655,0.050027607988317,0.049815882603034,106.659413621296,410,135
1204.68144679555,1343.37636930535,0.1,0.2,0.140862081184274,483,384,0.025031450530217,0.024939070542208,138.058326169888,274,8.8708008206595E-05,-3.60175736856639,3.420836440922,0.024947093039194,0.024946370844947,164.68357696619,636,190
3212.65721571742,3595.27559107749,0.1,0.2,0.14203018854383,578,480,0.010027549123886,0.010026998921085,198.542918248671,364,4.92045387545659E-07,-4.53415246273875,4.34934097616239,0.009991391616878,0.009990034944726,258.586068693112,1007,272
6701.95142994568,7471.56835255495,0.1,0.2,0.142521889274049,651,549,0.005000138472321,0.00500545050643,246.917536381998,433,1.53486194562902E-05,-5.23616730702241,5.04337152325546,0.004993602655458,0.005010434060233,342.815883027401,1337,328
35404.1872118918,39608.8891155012,0.1,0.2,0.143218936322161,815,721,0.00100025111162,0.000999715001408,364.387117641293,592,1.76883235099012E-05,-6.8496850617013,6.66043413046117,0.001000571334834,0.00099800523682,583.21649272453,2280,479
